AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2022-23,33,5.5,5.1,,5.4,6.4,22,"3,043",921,"3,628","56,623",> 100%
National,,All,2022-23,34,5.6,5.1,,5.6,6.7,22,"3,118","1,067","3,794","56,448",> 100%
National,,All,2022-23,35,5.6,5.2,,5.6,6.9,19,"3,145","1,187","3,872","56,202",> 100%
National,,All,2022-23,36,5.6,5.2,,5.9,7.2,33,"3,336","1,313","4,146","57,228",> 100%
National,,All,2022-23,37,5.7,5.3,,6.1,7.6,38,"3,416","1,411","4,299","56,678",> 100%
National,,All,2022-23,38,5.8,5.4,,5.8,7.3,27,"3,293","1,418","4,175","56,931",> 100%
National,,All,2022-23,39,5.9,5.5,,6.1,7.6,33,"3,449","1,456","4,358","57,241",> 100%
National,,All,2021-22,40,5.9,5.4,,14.2,20.6,20,"9,741","11,180","14,178","68,969",> 100%
National,,All,2021-22,41,6,5.5,,13.1,19.1,11,"8,853","9,878","12,866","67,422",> 100%
National,,All,2021-22,42,6.1,5.6,,12.4,17.8,15,"8,253","8,941","11,899","66,923",> 100%
National,,All,2021-22,43,6.2,5.8,,11.8,16.6,14,"7,788","7,960","11,034","66,321",> 100%
National,,All,2021-22,44,6.3,5.9,,11,15.6,7,"7,303","7,287","10,383","66,494",> 100%
National,,All,2021-22,45,6.4,6,,10.7,15.3,26,"7,204","7,159","10,274","67,323",> 100%
National,,All,2021-22,46,6.5,6.1,,11,15.7,16,"7,324","7,310","10,500","66,813",> 100%
National,,All,2021-22,47,6.7,6.2,,11.2,16.4,19,"7,590","7,886","11,100","67,820",> 100%
National,,All,2021-22,48,6.8,6.3,,11.9,17.4,37,"8,324","8,781","12,154","70,021",> 100%
National,,All,2021-22,49,6.9,6.4,,12.6,18.4,56,"8,985","9,734","13,211","71,984",> 100%
National,,All,2021-22,50,7,6.5,,13.2,19.2,58,"9,304","10,250","13,652","71,176",> 100%
National,,All,2021-22,51,7.1,6.6,,13.2,19.4,86,"9,418","10,457","14,022","72,134",> 100%
National,,All,2021-22,52,7.1,6.7,,13.7,20.8,152,"10,052","11,677","15,412","74,255",> 100%
National,,All,2021-22,1,7.2,6.8,,15.1,23.9,188,"11,816","15,127","19,053","79,673",> 100%
National,,All,2021-22,2,7.3,6.8,,16.1,26.8,142,"13,531","19,091","22,804","84,950",> 100%
National,,All,2021-22,3,7.3,6.9,,17,29.2,150,"14,398","21,345","24,943","85,530",> 100%
National,,All,2021-22,4,7.3,6.9,,16.9,28.8,94,"14,248","20,973","24,435","84,940",> 100%
National,,All,2021-22,5,7.4,6.9,,16.4,27.3,89,"13,234","18,757","22,182","81,209",> 100%
National,,All,2021-22,6,7.4,6.9,,14.5,23.9,85,"11,091","15,348","18,470","77,137",> 100%
National,,All,2021-22,7,7.3,6.9,,13,20.7,67,"9,152","11,571","14,676","70,905",> 100%
National,,All,2021-22,8,7.3,6.9,,11.1,17.3,65,"7,301","8,302","11,401","66,064",> 100%
National,,All,2021-22,9,7.3,6.8,,9.6,14.2,64,"6,117","6,071","9,135","64,416",> 100%
National,,All,2021-22,10,7.2,6.8,,7.9,11.7,65,"4,832","4,414","7,257","61,804",> 100%
National,,All,2021-22,11,7.1,6.7,,7.4,10.2,64,"4,404","3,138","6,147","60,527",> 100%
National,,All,2021-22,12,7.1,6.6,,6.9,9.3,84,"3,943","2,514","5,439","58,516",> 100%
National,,All,2021-22,13,7,6.6,,6.4,8.4,77,"3,618","1,943","4,858","57,991",> 100%
National,,All,2021-22,14,6.9,6.5,,5.9,7.7,95,"3,342","1,604","4,437","57,778",> 100%
National,,All,2021-22,15,6.8,6.4,,6.1,7.6,94,"3,415","1,414","4,413","57,773",> 100%
National,,All,2021-22,16,6.7,6.2,,6,7.6,106,"3,310","1,355","4,280","56,654",> 100%
National,,All,2021-22,17,6.6,6.1,,6,7.6,95,"3,321","1,433","4,344","57,269",> 100%
National,,All,2021-22,18,6.4,6,,5.8,7.5,82,"3,258","1,435","4,296","57,448",> 100%
National,,All,2021-22,19,6.3,5.9,,6,8,100,"3,382","1,687","4,612","57,850",> 100%
National,,All,2021-22,20,6.2,5.8,,6.3,8.3,89,"3,512","1,747","4,801","57,592",> 100%
National,,All,2021-22,21,6.1,5.7,,6.1,8.2,84,"3,368","1,955","4,704","57,027",> 100%
National,,All,2021-22,22,6,5.5,,6.3,8.6,83,"3,530","2,016","4,946","57,520",> 100%
National,,All,2021-22,23,5.9,5.4,,6.2,8.6,71,"3,525","2,146","4,990","58,000",> 100%
National,,All,2021-22,24,5.8,5.3,,6.3,8.8,74,"3,566","2,211","5,065","57,699",> 100%
National,,All,2021-22,25,5.7,5.3,,6.1,8.7,36,"3,507","2,339","5,059","58,235",> 100%
National,,All,2021-22,26,5.6,5.2,,6.1,8.8,40,"3,476","2,427","5,085","58,002",> 100%
National,,All,2021-22,27,5.5,5.1,,6.2,9.1,35,"3,590","2,608","5,286","58,103",> 100%
National,,All,2021-22,28,5.5,5,,6.2,9.5,17,"3,593","2,940","5,562","58,394",> 100%
National,,All,2021-22,29,5.4,5,,6.4,10,24,"3,809","3,247","5,986","59,723",> 100%
National,,All,2021-22,30,5.4,5,,6.5,10.3,23,"3,816","3,414","6,063","58,738",> 100%
National,,All,2021-22,31,5.4,5,,6.5,10.2,16,"3,811","3,386","6,053","59,148",> 100%
National,,All,2021-22,32,5.4,5,,6.6,10.2,15,"3,841","3,290","5,958","58,556",> 100%
National,,All,2021-22,33,5.4,5,,6.4,9.9,20,"3,736","3,183","5,801","58,404",> 100%
National,,All,2021-22,34,5.4,5,,6.4,9.8,14,"3,692","3,055","5,683","58,252",> 100%
National,,All,2021-22,35,5.5,5,,6.2,9.5,12,"3,574","2,950","5,497","58,041",> 100%
National,,All,2021-22,36,5.5,5.1,,6.2,9.4,19,"3,613","2,826","5,510","58,656",> 100%
National,,All,2021-22,37,5.6,5.2,,6.2,9.1,17,"3,595","2,521","5,273","58,217",> 100%
National,,All,2021-22,38,5.7,5.2,,6.1,9,20,"3,590","2,573","5,301","58,712",> 100%
National,,All,2021-22,39,5.8,5.3,,6.2,8.8,24,"3,578","2,399","5,146","58,517",> 100%
National,,All,2020-21,40,5.9,5.4,,8.1,11.8,8,"4,829","4,240","7,038","59,712",> 100%
National,,All,2020-21,41,6,5.5,,8.4,12.4,12,"5,186","4,813","7,644","61,672",> 100%
National,,All,2020-21,42,6.1,5.6,,8.7,13.2,16,"5,218","5,195","7,964","60,507",> 100%
National,,All,2020-21,43,6.2,5.7,,9.1,14.3,15,"5,646","5,990","8,898","62,093",> 100%
National,,All,2020-21,44,6.3,5.9,,9.7,15.7,21,"6,145","7,019","9,926","63,327",> 100%
National,,All,2020-21,45,6.4,6,,10.5,17.4,21,"7,090","8,754","11,771","67,473",> 100%
National,,All,2020-21,46,6.5,6.1,,11.8,19.9,20,"8,060","10,644","13,681","68,729",> 100%
National,,All,2020-21,47,6.6,6.2,,13.2,23,30,"9,419","13,343","16,460","71,539",> 100%
National,,All,2020-21,48,6.8,6.3,,14.3,25.4,27,"10,465","15,615","18,590","73,182",> 100%
National,,All,2020-21,49,6.9,6.4,,15.7,28.1,35,"12,071","18,545","21,746","77,275",> 100%
National,,All,2020-21,50,7,6.5,,16.2,29.5,29,"13,269","20,913","24,173","81,861",> 100%
National,,All,2020-21,51,7.1,6.6,,17.3,30.9,32,"14,293","22,313","25,611","82,800",> 100%
